protocol,product_type,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_distance,median_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,apple,1561,4.975274,0.8654708520179372,0.9069767441860465,0.8468571428571429,0.875886524822695,698,863,0.44714926329276106,0.5528507367072389,5.660771369934082,5.150100231170654,0.9068767908309455,0.9359756097560976,0.8746438746438746,0.9042709867452136,0.16801853997682503
standard,banana,1388,4.975274,0.957492795389049,0.9394773039889959,0.9785100286532952,0.9585964912280702,647,741,0.4661383285302594,0.5338616714697406,5.657873630523682,5.176380157470703,0.9659969088098919,0.8944099378881988,0.9664429530201343,0.9290322580645162,0.04993252361673414
standard,bellpepper,769,4.975274,0.8556566970091027,0.9711815561959655,0.769406392694064,0.8585987261146497,444,325,0.577373211963589,0.4226267880364109,5.064141273498535,4.710903167724609,0.8828828828828829,0.9702380952380952,0.7761904761904762,0.8624338624338624,0.18153846153846154
standard,bitter_gourd,123,4.975274,1.0,1.0,1.0,1.0,70,53,0.5691056910569106,0.43089430894308944,4.953649044036865,4.218129634857178,1.0,1.0,1.0,1.0,0.0
standard,carrot,214,4.975274,0.7757009345794392,0.7978723404255319,0.7211538461538461,0.7575757575757576,44,170,0.205607476635514,0.794392523364486,6.734682083129883,6.309874534606934,0.7954545454545454,0.8148148148148148,0.8461538461538461,0.8301886792452831,0.22941176470588234
standard,cucumber,257,4.975274,0.8832684824902723,0.9782608695652174,0.7627118644067796,0.8571428571428571,83,174,0.3229571984435798,0.6770428015564203,9.17042350769043,6.9843010902404785,0.8072289156626506,0.9090909090909091,0.4,0.5555555555555556,0.08045977011494253
standard,grape,107,4.975274,1.0,1.0,1.0,1.0,0,107,0.0,1.0,10.993553161621094,11.70120906829834,,,,,0.0
standard,grapes,96,4.975274,0.7708333333333334,0.7428571428571429,0.6666666666666666,0.7027027027027027,73,23,0.7604166666666666,0.23958333333333334,4.434732437133789,4.538669586181641,0.7808219178082192,0.8260869565217391,0.6129032258064516,0.7037037037037037,0.2608695652173913
standard,guava,543,4.975274,0.9318600368324125,0.979253112033195,0.8805970149253731,0.9273084479371316,392,151,0.7219152854511971,0.27808471454880296,5.547332286834717,4.1112236976623535,0.923469387755102,0.9761904761904762,0.8631578947368421,0.9162011173184358,0.046357615894039736
standard,jujube,66,4.975274,0.8939393939393939,0.8421052631578947,0.9696969696969697,0.9014084507042254,44,22,0.6666666666666666,0.3333333333333333,4.638779640197754,4.266392230987549,0.8636363636363636,0.7,1.0,0.8235294117647058,0.045454545454545456
