image_path,product_type,freshness,label,split,prediction_score,predicted_label,is_correct,pca_1,pca_2,tsne_1,tsne_2
C:\Users\antoc\FreshOrRotten\data\raw\Pomegranate_Fresh\20190820_154341_26530.jpg,pomegranate,fresh,0,test,0.086251296,fresh,True,2.491917,0.8161199,19.87902,32.488018
C:\Users\antoc\FreshOrRotten\data\raw\Tomato_Rotten\Copy of IMG_20200801_191339.jpg_0_2335.jpg,tomato,rotten,1,test,0.16115248,fresh,False,1.6325288,-2.3847682,19.281136,-16.545141
C:\Users\antoc\FreshOrRotten\data\raw\Guava_Rotten\IMG_20190822_081343.jpg,guava,rotten,1,test,0.92000085,rotten,True,-3.545003,-2.4623268,-24.1072,-11.099501
C:\Users\antoc\FreshOrRotten\data\raw\Apple_Rotten\RottenApple (102)!.jpg,apple,rotten,1,test,0.71407706,rotten,True,-1.746,-2.6666136,-21.697258,-36.624516
C:\Users\antoc\FreshOrRotten\data\raw\Banana_Rotten\IMG_20190910_175752.jpg,banana,rotten,1,test,0.99767166,rotten,True,-7.7558985,2.3125346,-39.981533,24.217535
C:\Users\antoc\FreshOrRotten\data\raw\Pomegranate_Rotten\IMG_20190824_180911.jpg,pomegranate,rotten,1,test,0.8064346,rotten,True,-1.6767327,-0.9788763,-15.821115,34.574413
C:\Users\antoc\FreshOrRotten\data\raw\Guava_Rotten\IMG_20190829_072537_1.jpg,guava,rotten,1,test,0.97078335,rotten,True,-4.4053164,2.4340942,-25.342352,33.39147
C:\Users\antoc\FreshOrRotten\data\raw\Cucumber_Rotten\rottenCucumber (305)1.jpg,cucumber,rotten,1,test,0.36432603,fresh,False,0.3587846,-2.0261896,6.8946753,-7.945933
C:\Users\antoc\FreshOrRotten\data\raw\Apple_Rotten\Screen Shot 2018-06-07 at 2.31.43 PM.jpg,apple,rotten,1,test,0.72636753,rotten,True,-1.6536927,-2.2344859,-21.906796,-36.99344
C:\Users\antoc\FreshOrRotten\data\raw\Pomegranate_Fresh\IMG20200728181708_27252.jpg,pomegranate,fresh,0,test,0.2106912,fresh,True,1.1351808,-1.4552993,14.246823,-28.451204
C:\Users\antoc\FreshOrRotten\data\raw\Pomegranate_Fresh\20190820_153050_25422.jpg,pomegranate,fresh,0,test,0.04450033,fresh,True,3.257795,0.7962055,21.830528,31.423473
C:\Users\antoc\FreshOrRotten\data\raw\Apple_Fresh\freshApple (331)1.jpg,apple,fresh,0,test,0.068172656,fresh,True,3.2914138,-1.6924195,29.035305,-10.826558
C:\Users\antoc\FreshOrRotten\data\raw\Peach_Rotten\Image4379.jpg,peach,rotten,1,test,0.81815374,rotten,True,-2.2937398,-1.7694516,-12.4891405,-5.3774204
C:\Users\antoc\FreshOrRotten\data\raw\Guava_Rotten\RottenGuava (30).jpg,guava,rotten,1,test,0.6333633,rotten,True,-1.0499318,-2.1042042,-15.468833,-13.20068
C:\Users\antoc\FreshOrRotten\data\raw\Tomato_Fresh\tomato1_38.jpg_0_9365.jpg,tomato,fresh,0,test,0.05713521,fresh,True,3.2359478,5.4148912,12.405612,52.582054
C:\Users\antoc\FreshOrRotten\data\raw\Banana_Fresh\Screen Shot 2018-06-12 at 10.04.59 PM.jpg,banana,fresh,0,test,0.07213762,fresh,True,2.887721,-0.5023198,10.410923,1.0751361
C:\Users\antoc\FreshOrRotten\data\raw\Potato_Rotten\rottenPotato (52).jpg,potato,rotten,1,test,0.96765053,rotten,True,-4.9953537,-2.2038598,-42.371857,-6.4852033
C:\Users\antoc\FreshOrRotten\data\raw\Banana_Fresh\IMG20200730132114_01.jpg,banana,fresh,0,test,0.12594481,fresh,True,6.0649796,-2.2651057,53.160233,-15.627869
C:\Users\antoc\FreshOrRotten\data\raw\Banana_Fresh\Image251.jpg,banana,fresh,0,test,0.08097953,fresh,True,2.5824924,1.3809074,4.70302,36.22712
C:\Users\antoc\FreshOrRotten\data\raw\Banana_Rotten\rotated_by_15_Screen Shot 2018-06-12 at 9.14.28 PM.jpg,banana,rotten,1,test,0.99745077,rotten,True,-7.9203277,1.2411919,-41.851597,3.707462
C:\Users\antoc\FreshOrRotten\data\raw\Apple_Fresh\vertical_flip_Screen Shot 2018-06-08 at 5.25.33 PM.jpg,apple,fresh,0,test,0.021943577,fresh,True,4.2603197,0.28517032,37.252518,1.8278714
C:\Users\antoc\FreshOrRotten\data\raw\Apple_Rotten\saltandpepper_Screen Shot 2018-06-07 at 3.05.29 PM.jpg,apple,rotten,1,test,0.9973386,rotten,True,-7.91373,1.9861069,-35.084904,22.567944
C:\Users\antoc\FreshOrRotten\data\raw\Papaya_Fresh\Image87.jpg,papaya,fresh,0,test,0.024374064,fresh,True,5.7348976,-1.6672832,46.51446,-20.802013
C:\Users\antoc\FreshOrRotten\data\raw\Tomato_Fresh\Image101 (2).jpg,tomato,fresh,0,test,0.008292736,fresh,True,5.97501,-1.4272097,36.384094,-49.291733
C:\Users\antoc\FreshOrRotten\data\raw\Guava_Rotten\RottenGuava (22).jpg,guava,rotten,1,test,0.9322097,rotten,True,-3.2748733,0.01762691,-20.117523,34.743736
C:\Users\antoc\FreshOrRotten\data\raw\Banana_Rotten\rotated_by_30_Screen Shot 2018-06-12 at 8.47.57 PM.jpg,banana,rotten,1,test,0.99967825,rotten,True,-9.864852,3.696333,-57.405407,9.640314
C:\Users\antoc\FreshOrRotten\data\raw\Tomato_Fresh\DSCN4114.jpg_0_7513.jpg,tomato,fresh,0,test,0.35031906,fresh,True,0.5466466,9.895936,-1.2567964,61.72342
C:\Users\antoc\FreshOrRotten\data\raw\Bellpepper_Fresh\IMG_20200824_182316.jpg_0_8783.jpg,bellpepper,fresh,0,test,0.3558766,fresh,True,0.5347538,-2.578217,7.734376,-7.8311844
C:\Users\antoc\FreshOrRotten\data\raw\Apple_Rotten\IMG_20190824_175903_1.jpg,apple,rotten,1,test,0.45722708,fresh,False,-0.4691192,-3.8465557,0.5241137,-30.957869
C:\Users\antoc\FreshOrRotten\data\raw\Bellpepper_Fresh\Day2.jpg_0_5279.jpg,bellpepper,fresh,0,test,0.040211607,fresh,True,3.3515763,-0.4351345,29.853134,-3.4865184
C:\Users\antoc\FreshOrRotten\data\raw\Pomegranate_Fresh\20190820_150106_23956.jpg,pomegranate,fresh,0,test,0.0040562716,fresh,True,6.266205,6.5757217,33.33367,41.826042
C:\Users\antoc\FreshOrRotten\data\raw\Pomegranate_Fresh\20190820_153212_25540.jpg,pomegranate,fresh,0,test,0.07200171,fresh,True,2.6356335,-1.8129537,25.933325,-17.687294
C:\Users\antoc\FreshOrRotten\data\raw\Pomegranate_Fresh\20190820_145703_23743.jpg,pomegranate,fresh,0,test,0.06509239,fresh,True,2.6208878,3.9739852,19.635544,20.917448
C:\Users\antoc\FreshOrRotten\data\raw\Tomato_Fresh\DSCN4172.jpg_0_1668.jpg,tomato,fresh,0,test,0.24018337,fresh,True,1.2024592,9.092182,0.33608973,61.452023
C:\Users\antoc\FreshOrRotten\data\raw\Apple_Rotten\IMG_8218.JPG,apple,rotten,1,test,0.9813727,rotten,True,-5.5745673,-0.80005115,-33.729225,-1.5839283
