protocol,image_count,confidence_threshold,distance_threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_confidence,mean_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,0.5,2.907174,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1073,9652,0.10004662004662004,0.89995337995338,0.8692758679389954,5.500675201416016,0.9627213420316869,0.9416666666666667,0.773972602739726,0.849624060150376,0.11334438458350601
standard,10725,0.5,3.045367,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1287,9438,0.12,0.88,0.8692758679389954,5.500675201416016,0.9588189588189588,0.943502824858757,0.7952380952380952,0.8630490956072352,0.11453697817334181
standard,10725,0.5,3.181205,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1502,9223,0.14004662004662005,0.85995337995338,0.8692758679389954,5.500675201416016,0.9527296937416777,0.9475806451612904,0.8020477815699659,0.8687615526802218,0.11525533991109184
standard,10725,0.5,3.310992,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1716,9009,0.16,0.84,0.8692758679389954,5.500675201416016,0.9527972027972028,0.9493670886075949,0.821917808219178,0.8810572687224669,0.11688311688311688
standard,10725,0.5,3.436845,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1931,8794,0.18004662004662006,0.8199533799533799,0.8692758679389954,5.500675201416016,0.9502848265147592,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.11803502387991813
standard,10725,0.5,3.5478,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2145,8580,0.2,0.8,0.8692758679389954,5.500675201416016,0.9491841491841492,0.937246963562753,0.8558225508317929,0.8946859903381642,0.11946386946386946
standard,10725,0.5,3.679165,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2360,8365,0.22004662004662004,0.77995337995338,0.8692758679389954,5.500675201416016,0.9461864406779661,0.9328743545611016,0.8603174603174604,0.8951279933938894,0.12038254632396891
standard,10725,0.5,3.789399,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2574,8151,0.24,0.76,0.8692758679389954,5.500675201416016,0.9436674436674437,0.9312406576980568,0.8628808864265928,0.8957584471603163,0.12133480554533187
standard,10725,0.5,3.90361,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2789,7936,0.26004662004662005,0.73995337995338,0.8692758679389954,5.500675201416016,0.9411975618501255,0.9303225806451613,0.8676293622141997,0.8978829389788294,0.12222782258064516
standard,10725,0.5,3.98655,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,3003,7722,0.28,0.72,0.8692758679389954,5.500675201416016,0.9373959373959374,0.9292929292929293,0.8688352570828961,0.8980477223427332,0.1225071225071225
