product_type,precision,recall,f1_score,support
apple,0.6916256157635468,0.4497117232543241,0.5450310559006211,1561
banana,0.7982017982017982,0.5756484149855908,0.6688991209711176,1388
bellpepper,0.8083333333333333,0.6306892067620286,0.7085463842220598,769
bitter_gourd,0.536036036036036,0.967479674796748,0.6898550724637681,123
carrot,0.33578431372549017,0.6401869158878505,0.4405144694533762,214
cucumber,0.5170603674540682,0.7665369649805448,0.6175548589341693,257
grape,0.981651376146789,1.0,0.9907407407407407,107
grapes,0.5897435897435898,0.9583333333333334,0.7301587301587301,96
guava,0.5302325581395348,0.6298342541436464,0.5757575757575758,543
jujube,0.32558139534883723,0.8484848484848485,0.47058823529411764,66
kaki,0.9888268156424581,1.0,0.9943820224719101,177
lime,0.5712050078247262,0.7986870897155361,0.666058394160584,457
mango,0.3120567375886525,0.6376811594202898,0.41904761904761906,207
orange,0.7508125677139762,0.5392996108949416,0.6277173913043478,1285
papaya,0.9908256880733946,1.0,0.9953917050691244,108
peach,0.9523809523809523,1.0,0.975609756097561,220
pear,0.9606299212598425,1.0,0.9799196787148594,122
pomegranate,0.8991660348749052,0.784910655195235,0.8381625441696113,1511
potato,0.30952380952380953,0.5958333333333333,0.4074074074074074,240
strawberry,0.3566775244299674,0.6498516320474778,0.4605678233438486,337
tomato,0.6738894907908992,0.6996625421822272,0.6865342163355408,889
watermelon,0.7164179104477612,1.0,0.8347826086956521,48
