,predicted_apple,predicted_banana,predicted_bellpepper,predicted_bitter_gourd,predicted_carrot,predicted_cucumber,predicted_grape,predicted_grapes,predicted_guava,predicted_jujube,predicted_kaki,predicted_lime,predicted_mango,predicted_orange,predicted_papaya,predicted_peach,predicted_pear,predicted_pomegranate,predicted_potato,predicted_strawberry,predicted_tomato,predicted_watermelon
actual_apple,702,73,32,3,66,26,0,2,77,22,2,33,57,70,0,0,0,66,97,115,111,7
actual_banana,46,799,13,50,5,37,0,13,83,10,0,60,56,35,0,0,5,3,91,56,26,0
actual_bellpepper,19,4,485,34,19,38,0,2,8,9,0,13,4,43,1,3,0,10,5,10,55,7
actual_bitter_gourd,0,1,0,119,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
actual_carrot,8,4,3,0,137,2,2,0,1,5,0,2,3,5,0,1,0,2,9,15,13,2
actual_cucumber,2,13,7,3,1,197,0,1,12,3,0,3,2,4,0,1,0,4,3,0,1,0
actual_grape,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actual_grapes,0,0,0,0,0,0,0,92,1,2,0,1,0,0,0,0,0,0,0,0,0,0
actual_guava,6,21,2,0,1,33,0,13,342,8,0,33,14,22,0,0,0,14,14,20,0,0
actual_jujube,0,0,0,0,0,1,0,3,0,56,0,2,0,3,0,0,0,0,0,0,1,0
actual_kaki,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0
actual_lime,1,8,1,0,0,2,0,3,33,11,0,365,10,4,0,0,0,0,7,12,0,0
actual_mango,1,4,0,0,1,2,0,0,11,3,0,10,132,10,0,1,0,2,23,7,0,0
actual_orange,49,41,27,3,78,13,0,26,52,21,0,84,54,693,0,5,0,3,50,23,61,2
actual_papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0
actual_peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0
actual_pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0
actual_pomegranate,101,10,9,0,23,20,0,0,12,10,0,6,11,5,0,0,0,1186,2,88,28,0
actual_potato,5,15,1,1,10,2,0,1,10,0,0,8,20,5,0,0,0,1,143,15,3,0
actual_strawberry,2,6,2,0,25,2,0,0,2,8,0,18,24,0,0,0,0,20,6,219,2,1
actual_tomato,73,2,18,9,42,6,0,0,0,4,0,1,35,24,0,0,0,7,12,34,622,0
actual_watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
