product_type,precision,recall,f1_score,support
apple,0.6986301369863014,0.42691564713457825,0.5299760191846523,1553
banana,0.7902388369678089,0.549062049062049,0.6479352916134525,1386
bellpepper,0.7362459546925566,0.5932203389830508,0.6570397111913358,767
bitter_gourd,0.3927392739273927,0.8686131386861314,0.5409090909090909,137
carrot,0.2147117296222664,0.47577092511013214,0.2958904109589041,227
cucumber,0.5628140703517588,0.7750865051903114,0.6521106259097526,289
grape,0.515625,1.0,0.6804123711340206,99
grapes,0.35944700460829493,0.9285714285714286,0.5182724252491694,84
guava,0.49185667752442996,0.5708884688090737,0.5284339457567804,529
jujube,0.1956521739130435,0.8059701492537313,0.31486880466472306,67
kaki,0.8181818181818182,1.0,0.9,189
lime,0.5714285714285714,0.7139784946236559,0.6347992351816444,465
mango,0.3117782909930716,0.6367924528301887,0.4186046511627907,212
orange,0.7509113001215066,0.4717557251908397,0.5794655414908579,1310
papaya,0.9272727272727272,1.0,0.9622641509433962,102
peach,0.9476190476190476,1.0,0.9731051344743277,199
pear,0.8675496688741722,1.0,0.9290780141843972,131
pomegranate,0.890302066772655,0.7476635514018691,0.8127721335268505,1498
potato,0.28295254833040423,0.6264591439688716,0.3898305084745763,257
strawberry,0.44150110375275936,0.6578947368421053,0.5284015852047557,304
tomato,0.7313432835820896,0.6145952109464082,0.667905824039653,877
watermelon,0.25925925925925924,0.8333333333333334,0.3954802259887006,42
