,predicted_apple,predicted_banana,predicted_bellpepper,predicted_bitter_gourd,predicted_carrot,predicted_cucumber,predicted_grape,predicted_grapes,predicted_guava,predicted_jujube,predicted_kaki,predicted_lime,predicted_mango,predicted_orange,predicted_papaya,predicted_peach,predicted_pear,predicted_pomegranate,predicted_potato,predicted_strawberry,predicted_tomato,predicted_watermelon
actual_apple,638,79,37,13,49,26,1,34,55,28,3,45,70,82,1,2,2,90,103,82,113,0
actual_banana,44,639,8,59,8,27,1,89,95,20,1,59,47,49,4,2,9,8,157,40,20,0
actual_bellpepper,13,16,471,15,10,44,0,25,9,5,9,30,4,31,1,3,1,26,16,4,31,3
actual_bitter_gourd,0,7,0,125,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actual_carrot,0,4,13,0,113,9,0,7,3,11,3,0,7,8,0,0,2,8,18,14,6,1
actual_cucumber,1,2,7,7,0,212,0,6,7,3,0,10,14,2,0,3,1,5,2,2,2,3
actual_grape,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actual_grapes,1,0,1,0,0,0,0,72,2,2,0,1,0,1,2,0,0,2,0,0,0,0
actual_guava,13,12,12,1,8,24,0,32,267,18,0,31,11,8,2,0,2,50,25,10,3,0
actual_jujube,0,1,2,0,0,1,0,3,0,55,0,1,0,0,0,0,0,0,1,2,1,0
actual_kaki,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
actual_lime,0,9,1,0,1,3,0,21,45,31,0,302,20,3,0,0,0,2,23,4,0,0
actual_mango,9,6,2,0,2,1,0,8,9,14,0,12,117,5,0,0,0,2,11,14,0,0
actual_orange,56,34,20,33,63,5,0,70,75,38,25,62,84,569,1,11,0,20,54,48,35,7
actual_papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
actual_peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0
actual_pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
actual_pomegranate,90,19,18,13,26,28,0,7,27,21,0,0,6,7,0,0,1,1140,1,72,22,0
actual_potato,8,21,6,2,15,10,0,8,10,6,0,2,4,3,0,0,3,5,138,14,2,0
actual_strawberry,14,7,7,0,23,8,0,0,3,28,1,12,23,4,0,0,0,9,6,153,6,0
actual_tomato,31,3,18,0,64,24,0,5,1,9,25,9,13,17,0,0,0,6,60,54,537,1
actual_watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
