product_type,precision,recall,f1_score,support
apple,0.7,0.44172569220862845,0.5416502171338334,1553
banana,0.7777777777777778,0.5707070707070707,0.6583437369954224,1386
bellpepper,0.7672552166934189,0.6232073011734028,0.6877697841726619,767
bitter_gourd,0.5387931034482759,0.9124087591240876,0.6775067750677507,137
carrot,0.3397590361445783,0.6211453744493393,0.4392523364485981,227
cucumber,0.5447941888619855,0.7785467128027682,0.6410256410256411,289
grape,1.0,1.0,1.0,99
grapes,0.5683453237410072,0.9404761904761905,0.7085201793721974,84
guava,0.5222929936305732,0.6200378071833649,0.5669835782195333,529
jujube,0.2967032967032967,0.8059701492537313,0.43373493975903615,67
kaki,0.9895287958115183,1.0,0.9947368421052631,189
lime,0.5964343598055105,0.7913978494623656,0.6802218114602587,465
mango,0.32036613272311215,0.660377358490566,0.43143297380585516,212
orange,0.7269772481040087,0.5122137404580153,0.6009852216748769,1310
papaya,0.9622641509433962,1.0,0.9807692307692307,102
peach,0.9754901960784313,1.0,0.9875930521091811,199
pear,0.9632352941176471,1.0,0.9812734082397003,131
pomegranate,0.8993948562783661,0.7937249666221629,0.8432624113475178,1498
potato,0.3305439330543933,0.6147859922178989,0.42993197278911566,257
strawberry,0.35737704918032787,0.7171052631578947,0.47702407002188185,304
tomato,0.6666666666666666,0.6955530216647663,0.6808035714285714,877
watermelon,0.7368421052631579,1.0,0.8484848484848485,42
