,predicted_apple,predicted_banana,predicted_bellpepper,predicted_bitter_gourd,predicted_carrot,predicted_cucumber,predicted_grape,predicted_grapes,predicted_guava,predicted_jujube,predicted_kaki,predicted_lime,predicted_mango,predicted_orange,predicted_papaya,predicted_peach,predicted_pear,predicted_pomegranate,predicted_potato,predicted_strawberry,predicted_tomato,predicted_watermelon
actual_apple,686,76,37,2,79,28,0,2,61,26,1,31,52,88,0,0,0,87,86,102,105,4
actual_banana,44,791,11,54,8,38,0,13,84,11,0,65,53,34,3,0,3,2,95,52,24,1
actual_bellpepper,19,7,478,37,22,32,0,1,12,8,1,11,2,45,1,1,2,8,6,12,55,7
actual_bitter_gourd,0,3,5,125,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
actual_carrot,5,1,4,1,141,3,0,0,1,6,0,2,7,7,0,1,0,1,13,18,15,1
actual_cucumber,4,14,6,0,5,225,0,1,17,2,0,2,2,5,0,2,0,1,3,0,0,0
actual_grape,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actual_grapes,0,2,0,0,0,0,0,79,1,2,0,0,0,0,0,0,0,0,0,0,0,0
actual_guava,5,21,2,1,3,42,0,14,328,7,0,26,12,16,0,0,0,12,24,16,0,0
actual_jujube,1,0,1,0,2,0,0,1,1,54,0,0,1,4,0,0,0,0,0,1,1,0
actual_kaki,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
actual_lime,1,11,0,0,0,2,0,5,33,9,0,368,11,6,0,0,0,0,7,12,0,0
actual_mango,2,6,0,0,0,2,0,0,10,7,0,5,140,7,0,0,0,0,22,11,0,0
actual_orange,43,45,35,8,74,12,0,20,62,30,0,87,69,671,0,1,0,1,49,28,73,2
actual_papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
actual_peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0
actual_pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
actual_pomegranate,80,7,20,0,18,21,0,0,10,11,0,5,9,9,0,0,0,1189,0,88,31,0
actual_potato,3,21,1,0,15,3,0,3,3,0,0,7,21,4,0,0,0,1,158,17,0,0
actual_strawberry,5,8,2,0,17,0,0,0,4,5,0,8,17,1,0,0,0,12,6,218,1,0
actual_tomato,82,4,21,4,31,5,0,0,0,4,0,0,40,26,0,0,0,7,8,35,610,0
actual_watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
