product_type,precision,recall,f1_score,support
apple,0.6641509433962264,0.3399871216999356,0.4497444633730835,1553
banana,0.7025171624713958,0.443001443001443,0.5433628318584071,1386
bellpepper,0.6700581395348837,0.6010430247718384,0.6336769759450172,767
bitter_gourd,0.47368421052631576,0.9197080291970803,0.6253101736972705,137
carrot,0.20034246575342465,0.5154185022026432,0.2885326757090012,227
cucumber,0.5574572127139364,0.7889273356401384,0.6532951289398281,289
grape,0.553072625698324,1.0,0.7122302158273381,99
grapes,0.30111524163568776,0.9642857142857143,0.45892351274787535,84
guava,0.4696132596685083,0.4820415879017013,0.47574626865671643,529
jujube,0.1971326164874552,0.8208955223880597,0.3179190751445087,67
kaki,0.8253275109170306,1.0,0.9043062200956937,189
lime,0.50625,0.6967741935483871,0.5864253393665159,465
mango,0.2544987146529563,0.4669811320754717,0.32945091514143093,212
orange,0.6901072705601907,0.44198473282442746,0.5388552815262913,1310
papaya,0.9107142857142857,1.0,0.9532710280373832,102
peach,0.9567307692307693,1.0,0.9778869778869779,199
pear,0.7081081081081081,1.0,0.8291139240506329,131
pomegranate,0.8486238532110092,0.7409879839786382,0.7911617961511048,1498
potato,0.2633587786259542,0.5369649805447471,0.353393085787452,257
strawberry,0.2932454695222405,0.5855263157894737,0.3907793633369923,304
tomato,0.6797297297297298,0.5735461801596351,0.6221397649969078,877
watermelon,0.7368421052631579,1.0,0.8484848484848485,42
