,predicted_apple,predicted_banana,predicted_bellpepper,predicted_bitter_gourd,predicted_carrot,predicted_cucumber,predicted_grape,predicted_grapes,predicted_guava,predicted_jujube,predicted_kaki,predicted_lime,predicted_mango,predicted_orange,predicted_papaya,predicted_peach,predicted_pear,predicted_pomegranate,predicted_potato,predicted_strawberry,predicted_tomato,predicted_watermelon
actual_apple,528,70,79,14,93,19,17,11,35,36,0,95,63,96,2,1,0,104,85,112,87,6
actual_banana,33,614,16,79,58,29,6,74,69,16,0,56,52,59,5,0,33,7,147,25,6,2
actual_bellpepper,17,7,461,14,21,37,5,12,49,7,7,25,2,42,0,2,0,18,4,13,23,1
actual_bitter_gourd,0,7,1,126,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
actual_carrot,2,1,6,2,117,6,22,1,0,8,2,2,6,8,0,0,2,6,15,10,11,0
actual_cucumber,4,4,5,3,2,228,0,2,14,3,0,5,0,0,1,2,4,3,7,0,0,2
actual_grape,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actual_grapes,0,0,0,0,0,0,0,81,2,1,0,0,0,0,0,0,0,0,0,0,0,0
actual_guava,18,43,11,2,2,34,2,42,255,10,0,29,17,2,1,0,0,6,38,8,7,2
actual_jujube,2,0,2,0,0,0,0,1,1,55,0,3,0,1,0,0,0,0,0,1,1,0
actual_kaki,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
actual_lime,21,9,2,0,10,2,0,6,26,17,0,324,12,3,0,0,0,0,18,14,1,0
actual_mango,2,4,2,0,6,3,1,2,9,24,0,9,99,4,0,2,0,0,7,38,0,0
actual_orange,74,47,38,13,86,12,2,34,58,45,6,71,86,579,0,1,2,21,36,32,67,0
actual_papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
actual_peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0
actual_pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
actual_pomegranate,44,1,25,7,41,29,10,1,20,28,0,0,17,3,0,0,3,1110,6,125,28,0
actual_potato,2,27,0,3,39,2,5,2,3,5,0,1,3,7,1,1,9,6,138,2,1,0
actual_strawberry,4,1,11,0,22,6,3,0,2,19,0,11,19,1,0,0,0,17,5,178,5,0
actual_tomato,44,39,29,3,87,0,7,0,0,5,25,9,13,34,0,0,0,10,18,49,503,2
actual_watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
