image_path,product_type,freshness,label,split
Bellpepper_Rotten/WhatsApp Image 2020-11-07 at 11.35.36 PM(1).jpeg_0_5756.jpg,bellpepper,rotten,1,train
Pomegranate_Fresh/20190820_145113.jpg,pomegranate,fresh,0,train
Orange_Fresh/rotated_by_15_Screen Shot 2018-06-13 at 12.01.10 AM.jpg,orange,fresh,0,train
Bellpepper_Fresh/capsicum3_7.jpg_0_9379.jpg,bellpepper,fresh,0,train
Pomegranate_Fresh/20190820_154337_26518.jpg,pomegranate,fresh,0,train
Bellpepper_Fresh/freshPepper (427)1.jpg,bellpepper,fresh,0,train
Guava_Fresh/FreshGuava (117).jpg,guava,fresh,0,train
Cucumber_Rotten/rottenCucumber (223)1.jpg,cucumber,rotten,1,train
Pomegranate_Fresh/20190820_151705_24831.jpg,pomegranate,fresh,0,train
Pomegranate_Fresh/20190820_151016_24454.jpg,pomegranate,fresh,0,train
Potato_Fresh/freshPotato (106).jpg,potato,fresh,0,train
Potato_Rotten/rottenPotato (304).jpg,potato,rotten,1,train
Potato_Rotten/rottenPotato (6).jpg,potato,rotten,1,train
Pomegranate_Fresh/20190820_145943_23874.jpg,pomegranate,fresh,0,train
Guava_Fresh/IMG_8891.JPG,guava,fresh,0,train
Papaya_Rotten/Image1873.jpg,papaya,rotten,1,train
Peach_Rotten/Image3985.jpg,peach,rotten,1,train
Orange_Fresh/rotated_by_45_Screen Shot 2018-06-12 at 11.51.47 PM.jpg,orange,fresh,0,train
Orange_Rotten/IMG20200728190027_01.jpg,orange,rotten,1,train
Orange_Fresh/translation_Screen Shot 2018-06-13 at 12.13.44 AM.jpg,orange,fresh,0,train
Orange_Fresh/IMG_20190924_153409_1.jpg,orange,fresh,0,train
Bitter_Gourd_Fresh/IMG_20200823_131901.jpg_0_8103.jpg,bitter_gourd,fresh,0,train
Orange_Rotten/rottenOrange (253)1.jpg,orange,rotten,1,train
Strawberry_Rotten/rottenStrawberry (311)1.jpg,strawberry,rotten,1,train
Pomegranate_Fresh/20190820_153247_25594.jpg,pomegranate,fresh,0,train
Guava_Fresh/FreshGuava (70).jpg,guava,fresh,0,train
Strawberry_Fresh/FreshStrawberry (122)!.jpg,strawberry,fresh,0,train
Bellpepper_Fresh/capsicum3_3.jpg_0_7815.jpg,bellpepper,fresh,0,train
Pomegranate_Fresh/IMG20200728125049_01.jpg,pomegranate,fresh,0,train
Orange_Rotten/IMG20200728140718.jpg,orange,rotten,1,train
Pomegranate_Fresh/20190820_143540.jpg,pomegranate,fresh,0,train
Bitter_Gourd_Rotten/IMG_20200824_182230.jpg_0_8842.jpg,bitter_gourd,rotten,1,train
Orange_Fresh/IMG_20190924_151620.jpg,orange,fresh,0,train
Strawberry_Rotten/RottenStrawberry (44)!.jpg,strawberry,rotten,1,train
Pomegranate_Rotten/IMG_20190829_071617.jpg,pomegranate,rotten,1,train
Orange_Rotten/rotated_by_15_Screen Shot 2018-06-12 at 11.40.42 PM.jpg,orange,rotten,1,train
Orange_Rotten/rotated_by_75_Screen Shot 2018-06-12 at 11.43.26 PM.jpg,orange,rotten,1,train
Orange_Fresh/rotated_by_15_Screen Shot 2018-06-12 at 11.51.47 PM.jpg,orange,fresh,0,train
Pomegranate_Fresh/20190820_153904.jpg,pomegranate,fresh,0,train
Potato_Fresh/freshPotato (15).jpg,potato,fresh,0,train
Guava_Rotten/RottenGuava (134).jpg,guava,rotten,1,train
Orange_Rotten/IMG20200728190059.jpg,orange,rotten,1,train
Pear_Fresh/Image239.jpg,pear,fresh,0,train
Lime_Fresh/IMG_20190902_111503_1.jpg,lime,fresh,0,train
Pomegranate_Rotten/IMG_20190829_072314.jpg,pomegranate,rotten,1,train
Pomegranate_Fresh/IMG20200728142618_27169.jpg,pomegranate,fresh,0,train
Mango_Fresh/freshMango (97).jpg,mango,fresh,0,train
Jujube_Fresh/FreshJujube (133).jpg,jujube,fresh,0,train
Mango_Fresh/freshMango (303).jpg,mango,fresh,0,train
Lime_Rotten/IMG_20190923_183737.jpg,lime,rotten,1,train
Orange_Rotten/RottenOrange (205)!.jpg,orange,rotten,1,train
Cucumber_Rotten/Image191.jpg,cucumber,rotten,1,train
Peach_Fresh/Image11.jpg,peach,fresh,0,train
Guava_Rotten/IMG20200729173232_01.jpg,guava,rotten,1,train
Pomegranate_Fresh/20190820_153104_25440.jpg,pomegranate,fresh,0,train
Orange_Rotten/rotated_by_60_Screen Shot 2018-06-12 at 11.32.13 PM.jpg,orange,rotten,1,train
Orange_Rotten/rotated_by_15_Screen Shot 2018-06-12 at 11.31.11 PM.jpg,orange,rotten,1,train
Peach_Fresh/Image1201.jpg,peach,fresh,0,train
Bellpepper_Rotten/WhatsApp Image 2020-11-07 at 11.35.37 PM(1).jpg_0_6821.jpg,bellpepper,rotten,1,train
Kaki_Fresh/Image727.jpg,kaki,fresh,0,train
Pomegranate_Fresh/IMG20200728182212.jpg,pomegranate,fresh,0,train
Strawberry_Rotten/RottenStrawberry (120)!.jpg,strawberry,rotten,1,train
Pomegranate_Fresh/20190820_153129_25494.jpg,pomegranate,fresh,0,train
Strawberry_Rotten/rottenStrawberry (17)1.jpeg,strawberry,rotten,1,train
Bitter_Gourd_Fresh/IMG_20200823_131904.jpg_0_5398.jpg,bitter_gourd,fresh,0,train
Potato_Fresh/freshPotato (241).jpg,potato,fresh,0,train
Pomegranate_Rotten/IMG_20190824_181346.jpg,pomegranate,rotten,1,train
Orange_Rotten/rotated_by_45_Screen Shot 2018-06-12 at 11.27.46 PM.jpg,orange,rotten,1,train
Orange_Fresh/IMG20200729173814_01.jpg,orange,fresh,0,train
Pomegranate_Fresh/IMG20200728182153_01.jpg,pomegranate,fresh,0,train
Orange_Fresh/IMG_20190924_151606.jpg,orange,fresh,0,train
Bitter_Gourd_Fresh/bitter-gourd 1.jpg_0_2075.jpg,bitter_gourd,fresh,0,train
Pomegranate_Fresh/20190820_151648_24793.jpg,pomegranate,fresh,0,train
Pomegranate_Fresh/20190820_153358_25708.jpg,pomegranate,fresh,0,train
Pomegranate_Fresh/20190820_150354_24126.jpg,pomegranate,fresh,0,train
Lime_Fresh/IMG_20190902_110819.jpg,lime,fresh,0,train
Orange_Fresh/rotated_by_30_Screen Shot 2018-06-13 at 12.19.08 AM.jpg,orange,fresh,0,train
Lime_Rotten/IMG_20190923_183625.jpg,lime,rotten,1,train
Bellpepper_Fresh/freshPepper (562)1.jpg,bellpepper,fresh,0,train
Lime_Fresh/IMG_20190902_111046.jpg,lime,fresh,0,train
Pomegranate_Fresh/IMG20200728182213_27566.jpg,pomegranate,fresh,0,train
Papaya_Rotten/Image1543.jpg,papaya,rotten,1,train
Pomegranate_Fresh/20190820_154648_26716.jpg,pomegranate,fresh,0,train
Guava_Fresh/IMG_8937.JPG,guava,fresh,0,train
Kaki_Fresh/Image359.jpg,kaki,fresh,0,train
Lime_Rotten/IMG_20190822_075800.jpg,lime,rotten,1,train
Orange_Fresh/IMG_20190924_152741.jpg,orange,fresh,0,train
Potato_Rotten/rottenPotato (546).jpg,potato,rotten,1,train
Grape_Rotten/Image1125.jpg,grape,rotten,1,train
Pomegranate_Fresh/20190820_152822_25223.jpg,pomegranate,fresh,0,train
Orange_Rotten/rotated_by_75_Screen Shot 2018-06-12 at 11.43.54 PM.jpg,orange,rotten,1,train
Strawberry_Rotten/rottenStrawberry (130)1.jpg,strawberry,rotten,1,train
Grapes_Fresh/FreshGrape (135)!.jpg,grapes,fresh,0,train
Orange_Fresh/IMG20200728190511.jpg,orange,fresh,0,train
Potato_Fresh/freshPotato (588).jpg,potato,fresh,0,train
Cucumber_Fresh/freshCucumber (344)1.jpg,cucumber,fresh,0,train
Orange_Rotten/rotated_by_30_Screen Shot 2018-06-12 at 11.43.03 PM.jpg,orange,rotten,1,train
Grape_Rotten/Image1221.jpg,grape,rotten,1,train
Lime_Rotten/IMG20200728190813.jpg,lime,rotten,1,train
Cucumber_Rotten/rottenCucumber (276)1.jpg,cucumber,rotten,1,train
Pomegranate_Fresh/20190820_143528.jpg,pomegranate,fresh,0,train
Lime_Fresh/IMG_20190902_111226.jpg,lime,fresh,0,train
Grape_Rotten/Image1363.jpg,grape,rotten,1,train
Orange_Rotten/rotated_by_60_Screen Shot 2018-06-12 at 11.37.25 PM.jpg,orange,rotten,1,train
Orange_Fresh/rotated_by_45_Screen Shot 2018-06-13 at 12.05.33 AM.jpg,orange,fresh,0,train
Mango_Rotten/rottenMango (301).jpg,mango,rotten,1,train
Pomegranate_Fresh/20190820_153618_25870.jpg,pomegranate,fresh,0,train
Orange_Fresh/IMG_20190924_153553_2.jpg,orange,fresh,0,train
Bellpepper_Fresh/capsicum3_5.jpg_0_158.jpg,bellpepper,fresh,0,train
Peach_Fresh/Image1237.jpg,peach,fresh,0,train
Grapes_Fresh/FreshGrape (27)!.jpg,grapes,fresh,0,train
Bellpepper_Rotten/Image1695.jpg,bellpepper,rotten,1,train
Orange_Fresh/vertical_flip_Screen Shot 2018-06-12 at 11.58.18 PM.jpg,orange,fresh,0,train
Lime_Fresh/IMG_20190902_111223.jpg,lime,fresh,0,train
Bellpepper_Fresh/capsicum3_5.jpg_0_8917.jpg,bellpepper,fresh,0,train
Pomegranate_Fresh/20190820_145301.jpg,pomegranate,fresh,0,train
Pomegranate_Fresh/IMG20200728182243_27584.jpg,pomegranate,fresh,0,train
Bitter_Gourd_Rotten/IMG_20200826_172249.jpg_0_282.jpg,bitter_gourd,rotten,1,train
Pomegranate_Rotten/IMG_20190829_071847_1.jpg,pomegranate,rotten,1,train
Grapes_Fresh/FreshGrape (11)!.jpg,grapes,fresh,0,train
Pomegranate_Fresh/20190820_153447_25798.jpg,pomegranate,fresh,0,train
Pomegranate_Fresh/IMG20200728142609_01_27167.jpg,pomegranate,fresh,0,train
Pomegranate_Fresh/20190820_153408_25735.jpg,pomegranate,fresh,0,train
Pomegranate_Fresh/FreshPomegranate (209)!.jpg,pomegranate,fresh,0,train
Lime_Rotten/IMG_20190820_085633.jpg,lime,rotten,1,train
Orange_Rotten/RottenOrange (62)!.jpg,orange,rotten,1,train
Bellpepper_Rotten/WhatsApp Image 2020-11-07 at 11.30.46 PM.jpeg_0_9261.jpg,bellpepper,rotten,1,train
Pear_Fresh/Image265.jpg,pear,fresh,0,train
Pomegranate_Fresh/FreshPomegranate (203)!.jpg,pomegranate,fresh,0,train
Bellpepper_Fresh/freshPepper (270)1.jpg,bellpepper,fresh,0,train
Guava_Rotten/RottenGuava (160).jpg,guava,rotten,1,train
Carrot_Rotten/rottenCarrot (537).jpg,carrot,rotten,1,train
Carrot_Rotten/rottenCarrot (100).jpg,carrot,rotten,1,train
Carrot_Fresh/freshCarrot (454).jpg,carrot,fresh,0,train
Orange_Fresh/rotated_by_15_Screen Shot 2018-06-13 at 12.13.19 AM.jpg,orange,fresh,0,train
Orange_Fresh/IMG_1914.JPG,orange,fresh,0,train
Pomegranate_Fresh/20190820_152912_25297.jpg,pomegranate,fresh,0,train
Bellpepper_Fresh/freshPepper (594)1.jpg,bellpepper,fresh,0,train
Bellpepper_Fresh/freshPepper (43)1.jpg,bellpepper,fresh,0,train
Cucumber_Rotten/rottenCucumber (56)1.jpg,cucumber,rotten,1,train
Carrot_Rotten/rottenCarrot (137).jpg,carrot,rotten,1,train
Bellpepper_Fresh/IMG_20200826_172325.jpg_0_4946.jpg,bellpepper,fresh,0,train
Pear_Fresh/Image103.jpg,pear,fresh,0,train
Pomegranate_Fresh/20190820_150046_23904.jpg,pomegranate,fresh,0,train
Orange_Rotten/IMG_20190824_174843.jpg,orange,rotten,1,train
Bitter_Gourd_Fresh/IMG_20200822_223831.jpg_0_6208.jpg,bitter_gourd,fresh,0,train
Jujube_Fresh/FreshJujube (119).jpg,jujube,fresh,0,train
Orange_Fresh/rotated_by_15_Screen Shot 2018-06-12 at 11.59.33 PM.jpg,orange,fresh,0,train
Pomegranate_Rotten/IMG_20190822_084713.jpg,pomegranate,rotten,1,train
Bitter_Gourd_Fresh/IMG_20200823_131903.jpg_0_3821.jpg,bitter_gourd,fresh,0,train
Orange_Rotten/rotated_by_45_Screen Shot 2018-06-12 at 11.32.17 PM.jpg,orange,rotten,1,train
Potato_Rotten/rottenPotato (336).jpg,potato,rotten,1,train
Orange_Rotten/vertical_flip_Screen Shot 2018-06-12 at 11.36.48 PM.jpg,orange,rotten,1,train
Potato_Fresh/freshPotato (77).jpg,potato,fresh,0,train
Strawberry_Fresh/freshStrawberry (270)1.jpg,strawberry,fresh,0,train
Mango_Fresh/freshMango (259).jpg,mango,fresh,0,train
